method,chunk_size,chunk_overlap,temperature,model_name,error,faithfulness,rougeL,bertscore,summary_len,n_passes,answer_correctness
map_reduce,800,120,0.0,gpt-4o-mini,"To be able to use evaluate-metric/bertscore, you need to install the following dependencies['bert_score'] using 'pip install bert_score' for instance'",,,,,,
map_reduce,800,120,0.2,gpt-4o-mini,,0.9428571428571428,0.2698706099815156,0.8346647620201111,2175.0,,
map_reduce,800,200,0.0,gpt-4o-mini,,0.9736842105263158,0.2460456942003515,0.8343877792358398,2294.0,,
map_reduce,800,200,0.2,gpt-4o-mini,,,0.1216509775524982,0.8261711001396179,7062.0,,
map_reduce,800,300,0.0,gpt-4o-mini,,0.9696969696969696,0.2552380952380952,0.8307403326034546,2108.0,,
map_reduce,800,300,0.2,gpt-4o-mini,,0.9722222222222222,0.2710622710622711,0.8299134373664856,2205.0,,
map_reduce,1200,120,0.0,gpt-4o-mini,,0.9714285714285714,0.2706766917293233,0.8313800096511841,2125.0,,
map_reduce,1200,120,0.2,gpt-4o-mini,,0.9736842105263158,0.2539682539682539,0.8312504291534424,2324.0,,
map_reduce,1200,200,0.0,gpt-4o-mini,,0.2962962962962963,0.2352941176470588,0.8318222165107727,1649.0,,
map_reduce,1200,200,0.2,gpt-4o-mini,,0.7857142857142857,0.2579185520361991,0.833620011806488,1610.0,,
map_reduce,1200,300,0.0,gpt-4o-mini,,0.0,0.2350332594235033,0.8352196216583252,1620.0,,
map_reduce,1200,300,0.2,gpt-4o-mini,,1.0,0.2684824902723735,0.8324936032295227,2009.0,,
map_reduce,1600,120,0.0,gpt-4o-mini,,0.935483870967742,0.2591093117408906,0.830204427242279,1912.0,,
map_reduce,1600,120,0.2,gpt-4o-mini,,0.9642857142857144,0.2446351931330471,0.834816038608551,1694.0,,
map_reduce,1600,200,0.0,gpt-4o-mini,,0.9736842105263158,0.2556131260794473,0.8259792923927307,2325.0,,
map_reduce,1600,200,0.2,gpt-4o-mini,,0.9655172413793104,0.2627118644067796,0.8339259624481201,1763.0,,
map_reduce,1600,300,0.0,gpt-4o-mini,,0.9393939393939394,0.2568093385214007,0.8306054472923279,1992.0,,
map_reduce,1600,300,0.2,gpt-4o-mini,,0.9411764705882352,0.2608695652173913,0.8363893032073975,2102.0,,
refine,800,120,0.0,gpt-4o-mini,,1.0,0.2469635627530364,0.8349139094352722,1844.0,,
refine,800,120,0.2,gpt-4o-mini,,0.7941176470588235,0.2565055762081785,0.8297973275184631,2120.0,,
refine,800,200,0.0,gpt-4o-mini,,0.0,0.2271805273833671,0.8336572647094727,1872.0,,
refine,800,200,0.2,gpt-4o-mini,,0.9722222222222222,0.2597402597402597,0.8295595049858093,2145.0,,
map_reduce,800,120,0.0,gpt-4o-mini,,0.9130434782608696,0.3185378590078329,0.8210029006004333,2809.0,1.0,
map_reduce,800,120,0.0,gpt-4o-mini,,0.8518518518518519,0.2961672473867596,0.8461210131645203,1670.0,2.0,
